,Playlist Name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,tracknumber
mean,Good Estrogen,0.6040000000000001,0.5966967391304348,5.065217391304348,-7.019,0.05543152173913043,0.29951887717391307,0.017903195108695653,0.17836304347826087,0.45642173913043477,119.70925000000003,217336.19565217392,3.3369565217391304
mean,Workout,0.5397777777777778,0.79668253968254,4.380952380952381,-5.2115873015873015,0.10406507936507936,0.06394581904761905,0.05731838571428571,0.1767,0.4400047619047619,123.60580952380951,225706.20634920636,4.396825396825397
mean,Alternative Rock Playlist,0.4812444444444444,0.8701999999999999,5.022222222222222,-4.817911111111111,0.06915777777777779,0.008705847333333332,0.0022747717777777776,0.16718888888888891,0.48869777777777784,145.20215555555555,217841.6888888889,3.6666666666666665
mean,Rap Playlist,0.6967021276595744,0.6364148936170213,5.308510638297872,-7.355531914893614,0.2118734042553192,0.2127912765957447,0.005469747872340425,0.2286968085106383,0.5488936170212767,110.50323404255317,223596.90425531915,4.414893617021277
mean,Party Playlist,0.6957142857142857,0.7792619047619047,5.261904761904762,-5.230380952380953,0.1111952380952381,0.06888452380952381,0.02190791642857143,0.2151690476190476,0.5783809523809524,119.54402380952381,217859.33333333334,3.5476190476190474
